ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000096177	Gm5070	LE	HE	UND	UND	UND	UND
ENSMUSG00000096178	Gm20837	NE	NE	NE	NE	NE	NE
ENSMUSG00000096179	Gm15090	NE	NE	NE	NE	NE	NE
ENSMUSG00000096180	Vmn2r49	NE	NE	NE	NE	NE	NE
ENSMUSG00000096181	Gm23307	NE	NE	NE	NE	NE	NE
ENSMUSG00000096182	Gm23308	NE	NE	NE	NE	NE	NE
ENSMUSG00000096183	Gm3727	NE	NE	NE	NE	NE	NE
ENSMUSG00000096184	Gm23304	NE	NE	NE	NE	UND	NE
ENSMUSG00000096185	Gm23305	NE	NE	NE	NE	NE	NE
ENSMUSG00000096186	Gm23306	NE	NE	NE	NE	NE	NE
ENSMUSG00000096187	Gm21785	NE	NE	NE	NE	NE	NE
ENSMUSG00000096188	Cmtm4	UND	HE	UND	HE	HE	UND
ENSMUSG00000096189	Gm23309	NE	NE	NE	NE	NE	NE
ENSMUSG00000096190	Gm26136	NE	NE	NE	NE	NE	NE
ENSMUSG00000096191	Gm26135	NE	UND	NE	NE	UND	NE
ENSMUSG00000096192	Gm18856	NE	UND	UND	LE	UND	LE
ENSMUSG00000096193	Gm26134	NE	NE	NE	NE	NE	NE
ENSMUSG00000096194	Gm2799	NE	NE	NE	NE	NE	NE
ENSMUSG00000096195	Gm26138	NE	UND	UND	NE	NE	NE
ENSMUSG00000096196	Gm26137	NE	NE	NE	NE	NE	NE
ENSMUSG00000096197	4930555G01Rik	NE	NE	NE	NE	LE	NE
ENSMUSG00000096198	Gm26133	NE	NE	NE	NE	NE	NE
ENSMUSG00000096199	Ptrhd1	HE	UND	UND	UND	HE	UND
ENSMUSG00000096200	Gm23186	NE	UND	NE	NE	UND	NE
ENSMUSG00000096201	Gm10715	UND	UND	UND	NE	UND	NE
ENSMUSG00000096202	Gm22069	NE	NE	NE	NE	NE	NE
